企業名,業界・特徴,所在地,メールアドレス,企業URL,リモート可否
株式会社enechain,エネルギー,東京都,contact@enechain.co.jp,https://enechain.co.jp,可
クロスビット,SaaS,不明,info@crossbit.co.jp,https://crossbit.co.jp,可
プレカル,医療関連ソフトウェア,不明,support@precal.jp,https://precal.jp,不明
SmartHR,HR Tech,東京都,hello@smarthr.co.jp,https://smarthr.co.jp,可
Gaia Vision,DeepTech,東京都,info@gaiavision.jp,https://gaiavision.jp,可
Neural X,DeepTech,不明,contact@neuralx.jp,https://neuralx.jp,可
Craif,医療関連,東京都,support@craif.jp,https://craif.jp,可
TOMUSHI,環境スタートアップ,東京都,info@tomushi.jp,https://tomushi.jp,可
アスエネ,クライメートテック,東京都,contact@asuene.jp,https://asuene.jp,可
TERASS,不動産Tech,東京都,info@terass.jp,https://terass.jp,可
ROLLCAKE Inc.,IT・サービス開発,東京都,info@rollcake.co.jp,https://rollcake.co.jp,可
株式会社ココペリ,中小企業支援,東京都,contact@kokopelli.co.jp,https://kokopelli.co.jp,可
KLab株式会社,ソフトウェア・情報処理,東京都,contact@klab.com,https://klab.com,可
株式会社アド・プロ,インターネット関連,東京都,contact@ad-pro.jp,https://ad-pro.jp,可
株式会社D2C,コンサルティング,東京都,info@d2c.co.jp,https://d2c.co.jp,可
日本情報通信株式会社,ソフトウェア,東京都,contact@nic.co.jp,https://nic.co.jp,可
株式会社メルカリ,eコマース,東京都,contact@mercari.com,https://about.mercari.com,可
株式会社グノシー,メディア・広告,東京都,support@gunosy.co.jp,https://gunosy.co.jp,可
株式会社ABEJA,AI開発,東京都,info@abeja.asia,https://abeja.asia,可
株式会社アークシステム,ITサービス,東京都,info@arc-system.jp,https://arc-system.jp,可
株式会社Veltel,SaaS,東京都,info@velt.co.jp,https://velt.co.jp,可
株式会社WiL,投資・ベンチャーキャピタル,東京都,info@wil.co.jp,https://wil.co.jp,可
株式会社リブセンス,HR Tech,東京都,info@livesense.co.jp,https://livesense.co.jp,可
株式会社カラダノート,ヘルステック,東京都,info@karadanote.jp,https://karadanote.jp,可
株式会社プレイド,AI・データ分析,東京都,contact@plaido.jp,https://plaido.jp,可
株式会社グッドパッチ,デザイン・プロダクト開発,東京都,info@goodpatch.com,https://goodpatch.com,可
株式会社ユーザーローカル,AI・SaaS,東京都,info@userlocal.jp,https://userlocal.jp,可
株式会社フィルモア,インターネット・AI,東京都,contact@filmor.com,https://filmor.com,可
